Time,Ws_name,Message
2024-03-15 11:03:31,Volumetrica WS,Pong: {}
2024-03-15 11:03:35,Tradestation WS,"Heartbeat:75, Timestamp:2024-03-15T10:03:36Z"
2024-03-15 11:03:36,Volumetrica WS,Pong: {}
2024-03-15 11:03:40,Tradestation WS,"Heartbeat:76, Timestamp:2024-03-15T10:03:41Z"
2024-03-15 11:03:41,Volumetrica WS,Pong: {}
2024-03-15 11:03:45,Tradestation WS,"Heartbeat:77, Timestamp:2024-03-15T10:03:46Z"
2024-03-15 11:03:46,Volumetrica WS,Pong: {}
2024-03-15 11:03:50,Tradestation WS,"Heartbeat:78, Timestamp:2024-03-15T10:03:51Z"
2024-03-15 11:03:51,Volumetrica WS,Pong: {}
2024-03-15 11:03:55,Tradestation WS,"Heartbeat:79, Timestamp:2024-03-15T10:03:56Z"
2024-03-15 11:03:56,Volumetrica WS,Pong: {}
2024-03-15 11:04:00,Tradestation WS,"Heartbeat:80, Timestamp:2024-03-15T10:04:01Z"
2024-03-15 11:04:01,Volumetrica WS,Pong: {}
2024-03-15 11:04:05,Tradestation WS,"Heartbeat:81, Timestamp:2024-03-15T10:04:06Z"
2024-03-15 11:04:06,Volumetrica WS,Pong: {}
2024-03-15 11:04:10,Tradestation WS,"Heartbeat:82, Timestamp:2024-03-15T10:04:11Z"
2024-03-15 11:04:11,Volumetrica WS,Pong: {}
2024-03-15 11:04:15,Tradestation WS,"Heartbeat:83, Timestamp:2024-03-15T10:04:16Z"
2024-03-15 11:04:16,Volumetrica WS,Pong: {}
2024-03-15 11:04:20,Tradestation WS,"Heartbeat:84, Timestamp:2024-03-15T10:04:21Z"
2024-03-15 11:04:21,Volumetrica WS,Pong: {}
2024-03-15 11:04:25,Tradestation WS,"Heartbeat:85, Timestamp:2024-03-15T10:04:26Z"
2024-03-15 11:04:26,Volumetrica WS,Pong: {}
2024-03-15 11:04:30,Tradestation WS,"Heartbeat:86, Timestamp:2024-03-15T10:04:31Z"
2024-03-15 11:04:31,Volumetrica WS,Pong: {}
2024-03-15 11:04:35,Tradestation WS,"Heartbeat:87, Timestamp:2024-03-15T10:04:36Z"
2024-03-15 11:04:36,Volumetrica WS,Pong: {}
2024-03-15 11:04:40,Tradestation WS,"Heartbeat:88, Timestamp:2024-03-15T10:04:41Z"
2024-03-15 11:04:41,Volumetrica WS,Pong: {}
2024-03-15 11:04:45,Tradestation WS,"Heartbeat:89, Timestamp:2024-03-15T10:04:46Z"
2024-03-15 11:04:46,Volumetrica WS,Pong: {}
2024-03-15 11:04:50,Tradestation WS,"Heartbeat:90, Timestamp:2024-03-15T10:04:51Z"
2024-03-15 11:04:51,Volumetrica WS,Pong: {}
2024-03-15 11:04:55,Tradestation WS,"Heartbeat:91, Timestamp:2024-03-15T10:04:56Z"
2024-03-15 11:04:56,Volumetrica WS,Pong: {}
