Time,ContractId,OpenPrice,DailyBought,DailySold,DailyPl,HasOpenPl,DailyCommissions,SnapType,AccNumber,FeedSymbol
2024-03-21 20:20:49.816623,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:50.383812,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:50.863505,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:51.172338,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:51.671085,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:43.760905,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:44.565726,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:45.116863,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:45.867037,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:46.417707,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:47.221902,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:48.830755,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:49.324626,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:49.625604,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:50.425872,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:50.927919,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:51.478800,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:51.980500,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:52.531874,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:53.082475,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:53.585880,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:54.135118,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:54.636274,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:54.937712,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:55.991747,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:56.789778,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:57.292478,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:57.848724,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:58.394565,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:58.902885,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:59.441757,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:28:59.948745,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:29:00.249170,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:25.495644,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:26.143101,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:26.149434,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:26.595208,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:27.393079,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:27.694232,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:28.196775,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:28.996951,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:29.547743,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:30.048850,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:30.349041,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:30.850302,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:31.151649,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:31.655302,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:32.204732,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:32.704798,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:31:33.257292,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:27.320851,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:28.596905,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:29.403226,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:29.969246,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:30.464341,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:31.008569,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:31.809757,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:32.311462,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:32.610979,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:33.112046,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:33.664061,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:34.168147,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:34.470192,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:34.966995,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:35.267235,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:35.771355,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:36.320974,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:36.821665,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:41:37.118257,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:05.207753,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:05.506536,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:05.798348,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:06.306900,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:06.607623,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:07.109309,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:07.415284,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:08.161788,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:08.466989,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:08.971005,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:09.269886,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:10.071845,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:10.573711,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:11.373956,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:11.925296,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:12.428562,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:12.727146,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:13.228696,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:13.779167,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:14.312333,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:14.587801,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:15.083312,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:15.383940,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:15.886409,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:16.440608,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:16.940694,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:50:17.240461,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
